,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2020/3/6,875,574,536,510,592,1300,1908,4152,6844,10507,19295,26478,27314,27797,31421,25248,22682,17553,12422,7492,4844,3328,2241,1434
2020/3/7,876,810,617,532,796,1468,1949,3922,7815,12874,25899,31945,35544,34813,38017,33599,30475,19561,12246,6787,5050,2989,2240,1765
2020/3/8,1302,1190,690,620,660,1168,1368,2623,5616,10759,24299,29742,27368,27905,26542,23129,18853,15283,8494,5643,3819,3070,2027,2002
2020/3/9,1163,809,521,542,506,1209,1972,4049,6726,11486,22259,30810,33602,31215,34313,32372,26569,19665,14377,6680,3162,3612,1715,1729
2020/3/10,938,898,786,434,535,1013,1591,3327,5959,10377,22265,31240,26476,27174,25543,22112,19292,15385,10808,5410,2772,2300,2411,2180
2020/3/11,1398,798,833,706,781,1272,2065,3912,6614,11907,21051,33495,37119,31688,34958,30796,28682,22102,16116,10208,3726,2606,1841,1526
2020/3/12,580,472,369,529,532,1043,1850,3878,6440,10743,20925,31557,31371,33812,35327,29463,26636,22057,14132,9011,3793,3291,1781,1799
2020/3/13,737,633,559,477,617,899,1593,4195,7069,11529,22507,30026,29795,29715,35271,30792,27412,18505,13103,7304,4381,3067,2080,1663
2020/3/14,757,681,673,599,558,936,1683,3430,6249,10730,21064,27783,28242,26597,30476,25999,21048,15538,10558,6502,3929,2896,1877,1262
2020/3/15,911,524,490,456,588,957,1912,3429,7927,14181,34387,39489,39165,40454,39635,36700,30690,20378,14740,7929,4819,2926,2237,1549
2020/3/16,755,622,482,425,700,1014,1934,3398,6921,11880,28155,35291,33309,33941,36003,30971,24782,20242,12648,6362,4736,2980,2146,1660
2020/3/17,957,623,638,704,686,1131,2199,4640,7505,12604,29012,36675,36754,36357,38866,36468,29813,24563,16209,8519,4230,3000,2050,1912
2020/3/18,919,793,692,684,744,1278,1985,3679,7452,13222,27130,37087,35696,36616,38900,34906,33860,27237,17615,10279,4745,3150,2519,1398
