,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,group
2020-02-02,1118,863,688,835,642,1102,1551,3247,8569,18021,32461,38533,37498,38887,40077,39553,34323,23178,14168,9970,7289,2830,2146,1213,3
2020-02-03,781,708,471,413,510,1165,2363,4276,9036,14650,25901,30840,30742,30340,34244,27956,22350,15708,10499,5591,3464,3039,1502,1243,0
2020-02-04,800,601,645,620,735,893,1847,4790,8669,11386,25440,31059,27667,27212,29359,27912,23641,17407,10321,5809,3388,3317,1582,1206,0
2020-02-05,781,527,462,410,486,961,2265,4550,7418,11245,20956,28836,32156,32537,30560,25911,22537,16896,8157,4831,4268,2794,1598,1656,0
2020-02-06,893,722,636,786,754,1430,2199,5563,8022,10898,21044,27234,26148,27466,29991,26932,21402,14323,9699,5521,3276,2926,1902,1481,0
2020-02-07,477,484,816,956,771,1189,2095,4611,8510,13403,21390,28196,26181,25292,27798,22078,20063,15744,9406,5688,3693,3048,2443,2585,0
2020-02-08,1163,962,807,523,1053,1264,1845,3435,8904,14536,24973,32238,35313,36452,43044,36544,30611,22776,12444,6675,3950,4905,2311,1619,0
2020-02-09,1506,1217,900,717,764,1134,1945,3543,9284,19336,39908,47713,46503,45121,48258,41931,39855,25940,15561,7809,6053,3328,1685,1507,3
2020-02-10,1000,690,696,635,817,1131,2654,4508,8271,17077,33929,37947,41270,39423,41304,37788,28782,21699,15707,7962,6528,3363,2059,1842,3
2020-02-11,1232,1075,654,644,745,1175,1775,3982,8517,17465,32051,38232,38814,36192,39352,37165,31184,22196,16396,7233,4292,3451,1782,1378,3
2020-02-12,1040,788,720,862,816,1229,2172,4734,7904,12208,21657,28089,29444,24173,30859,26488,22481,17755,9022,5009,3749,3492,2098,1857,0
2020-02-13,968,709,683,530,629,1064,1921,4328,5769,8601,16274,22384,23822,23079,24761,21394,21224,18895,8544,4065,3012,2441,1887,1572,0
