,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2020-01-20,0,0,0,0,0,0,0,0,0,0,1013,639,4355,8192,7570,6949,7207,13034,8137,4236,2970,2293,1498,1145
2020-03-29,993,744,880,788,584,1117,1662,2387,4791,8363,16863,19377,22019,18535,19038,14536,11508,7718,5637,3678,2614,2043,1529,944
2020-03-31,1177,869,517,471,746,1458,1620,3243,5435,6837,14213,16510,15931,15851,14223,14025,12372,10210,5507,3532,2812,2566,1655,1248
2020-04-01,900,511,389,377,443,753,1606,3742,5656,6009,9917,12837,11066,9895,9311,9156,6564,8070,6134,2961,1923,1699,1455,1363
2020-04-02,726,668,664,550,522,1139,1890,3441,4567,6472,9586,11493,11134,11502,10977,10093,9927,8520,5129,3047,2079,1947,1589,1179
2020-04-03,1013,555,431,411,546,977,1776,3658,5522,6485,8495,11567,12894,12264,11637,10365,9843,9454,6021,4329,2998,2047,1710,1952
2020-04-04,1005,1073,870,1575,674,1124,2072,3260,5502,6205,9051,13076,15487,14313,14667,14024,11278,9011,4856,3617,2563,2163,2571,2007
2020-04-05,1140,1369,1049,1067,1020,1511,2240,3389,5830,6786,10032,14605,15973,14033,12206,11169,9067,6521,4755,3378,2477,2088,1726,1288
2020-04-06,876,745,621,614,634,1196,1805,3583,5053,5572,7302,8574,9196,9210,8020,8021,6991,6456,4440,3342,2033,1878,1684,1442
2020-04-07,727,659,548,467,633,1090,1664,3494,5137,5640,6277,8608,8560,7792,8283,7342,6914,7667,4253,3230,1907,1617,1153,922
2020-04-08,457,422,522,499,591,855,1535,3362,4657,4742,6216,7059,7021,9626,8540,7122,6744,6549,4359,2273,2163,2099,2015,1389
2020-04-09,565,564,377,353,524,950,1577,3073,4413,4632,6130,7161,7616,6647,6125,5622,5700,5406,3745,2580,1699,1503,1279,1069
2020-04-10,649,523,720,538,606,1022,1717,3136,4158,5161,5862,6416,6692,6263,6016,5559,5166,5769,4181,2893,2081,1742,1651,1550
2020-04-11,1313,1199,803,564,802,986,1768,2857,3698,4350,7275,7207,9443,9192,8472,6899,6548,4210,3021,2389,1942,1983,1720,1877
2020-04-12,1136,694,585,563,526,992,1521,2083,3677,4326,5647,7957,8789,7628,6753,6004,4446,1824,2338,1907,1909,1603,1469,1124
2020-04-13,725,573,497,469,589,852,1695,2531,3479,4105,5311,5235,5240,4136,4008,3901,4292,3889,3169,1904,1558,1461,1123,1310
2020-04-14,819,469,498,388,499,966,1421,2947,3385,3782,5355,6776,5840,5876,6547,5622,5043,5553,2898,2328,1604,1608,1359,1379
2020-04-15,691,490,511,499,547,946,1807,3415,3890,3831,5377,6608,7071,6241,5929,5697,5055,4929,3805,2502,1528,1418,1049,993
2020-04-16,620,649,520,472,669,863,1652,2491,3943,4054,5185,6052,6354,5750,6341,5703,4421,4432,2936,2384,1680,1632,1460,1287
2020-04-17,445,361,641,517,491,902,1781,2672,3231,4292,4634,5774,5681,6405,5506,5878,5405,4845,3489,2421,1921,2168,1703,1947
2020-04-18,388,312,1192,471,447,780,1094,1821,2551,3010,4006,5223,4518,4282,4230,4055,4264,4255,2501,2092,1964,2283,1671,1618
2020-04-19,838,802,797,639,474,883,1241,1938,2975,4028,6299,8477,9423,8591,8074,7161,6608,4834,3800,2928,2418,1838,1542,1541
2020-04-20,930,523,720,598,778,942,1360,2534,3384,3354,5095,4820,4395,3598,3816,3880,3793,4124,3068,1946,1321,1193,920,695
2020-04-21,567,432,513,527,528,728,1626,2643,3166,4103,4783,5696,6029,5376,4418,4774,3604,4736,3136,2071,1387,1010,1175,1294
2020-04-22,544,451,437,649,682,1020,1529,2223,3637,3490,4456,5259,5240,5106,5134,5292,5157,4374,2974,2168,1207,1295,1245,894
2020-04-23,683,547,518,429,550,859,1576,2451,3633,4666,5948,5963,5675,5881,6044,5414,5614,4984,3519,2258,1935,1472,967,942
2020-04-24,1558,1045,847,544,667,968,1382,2507,3762,4695,5761,6309,6769,5989,5920,5394,4849,4501,4029,2226,1583,1514,948,971
2020-04-25,1247,1031,795,742,1103,885,1583,2426,3183,4344,4192,5241,6262,5551,6176,5154,4799,3614,3405,1914,1644,1690,1755,1294
2020-04-26,1140,1271,425,615,640,996,1606,1945,2811,3668,5097,6686,6414,6555,6205,4383,4148,2967,2581,1828,1323,1384,977,798
2020-04-27,719,448,538,411,539,970,1717,2671,3324,4044,4722,5017,4609,3888,4331,4367,3772,4122,2413,1922,942,889,1063,742
2020-04-28,628,387,563,498,588,960,1279,2271,3539,3884,4752,5268,4811,5291,5442,4061,4320,4006,2410,2425,1423,1740,959,891
2020-04-29,671,717,675,432,428,626,1555,1819,2513,3083,4325,5503,7329,6066,5856,5344,4471,4204,2463,2048,1360,1083,1186,1510
2020-04-30,1082,571,571,703,813,1057,1368,2296,2779,3415,4816,5247,4615,4636,5148,4627,2895,3737,2781,1701,1373,1246,1067,1101
2020-05-01,735,513,452,522,471,894,1304,2114,3292,4084,4885,6502,5100,5267,5422,4608,3486,3746,3335,1870,1448,1069,953,1287
2020-05-02,959,702,499,474,711,847,1532,2235,2840,2936,4149,5620,5135,4906,4415,3948,2988,2975,2595,1690,1557,1810,1369,1100
2020-05-03,880,916,711,515,509,823,1316,2176,3010,3854,4702,4473,4904,5137,5308,4417,4182,3442,2702,1939,1507,1196,1133,1195
2020-05-04,1199,1491,837,1009,726,747,883,2028,2745,3503,4879,5737,4592,4687,5669,4325,4122,3468,2124,1041,1382,1320,933,1236
2020-05-05,644,998,364,364,431,684,1062,1603,2633,3382,5427,6167,5474,4291,4441,4189,4579,3095,2639,1687,1637,1575,1170,1122
2020-05-06,1023,782,811,602,903,963,947,1715,2059,2772,3823,4046,4180,3685,3869,3912,2958,2087,2157,1186,986,1107,903,1254
2020-05-07,664,359,312,356,446,723,1269,2502,3586,3585,3951,4729,4582,4396,3961,3711,4097,3948,3171,1835,1254,1162,1200,1254
2020-05-08,723,927,770,700,653,959,1545,2293,2929,3534,4522,5457,5453,5501,4453,4675,4577,4630,3612,2071,1554,1602,885,1529
2020-05-09,1314,1138,1271,659,533,992,1721,2507,2899,3052,4352,4692,4668,5134,4939,4271,3996,3676,2603,1529,1201,1078,1408,1337
2020-05-10,1603,668,388,417,459,724,1147,1758,2125,3020,3445,3838,3237,3959,3083,2765,2575,2311,1582,1494,1271,1265,1125,1112
2020-05-11,530,773,436,359,455,798,1444,2375,2584,2750,1985,1933,1493,1288,919,1085,2800,3567,2862,1931,1199,988,1172,1294
2020-05-12,896,583,714,524,734,1062,1615,2672,2919,3238,2513,3291,3237,1945,1175,1555,3026,3761,2628,1788,1377,1153,877,1028
2020-05-13,559,503,407,408,515,880,1429,2552,2825,2887,3884,3652,2154,1885,2044,1665,2330,3433,2540,1809,1264,998,754,602
2020-05-14,547,426,492,359,606,833,1103,2299,3057,4206,4485,5273,5120,4924,5284,4926,3336,4521,2580,1782,1421,1056,894,946
2020-05-15,837,507,457,379,436,846,1431,2664,3403,3765,4910,4939,4375,4656,4934,4404,4045,4655,3099,1819,1900,1088,939,1208
2020-05-16,1000,1183,518,454,532,564,987,1942,2138,3042,3452,4340,3470,3480,4909,3185,2700,3177,2314,2134,1960,2206,1727,1311
2020-05-17,994,1007,1128,1022,1251,1028,1296,1994,2918,3868,5006,7299,5634,5681,5637,4410,4132,3775,2405,2264,1807,1330,1050,1284
2020-05-18,1599,1568,771,409,463,768,1169,2481,3031,3454,5209,4801,4600,4267,4040,3381,3390,4002,2628,2062,1254,925,1111,816
2020-05-19,507,423,421,648,492,578,1022,1876,2654,2999,4908,4064,4179,4422,4361,3723,3925,3662,2928,2033,1220,927,1039,1025
2020-05-20,997,744,728,486,513,720,1349,2635,3338,4156,4808,5358,5403,5225,4401,4757,3788,4666,3214,2004,1551,1491,1206,1093
2020-05-21,522,580,576,611,550,718,1247,2685,3507,3556,3860,4471,4787,3939,4624,4305,3541,3626,2395,1457,1546,1326,992,769
2020-05-22,469,554,396,303,390,748,1379,2798,3223,3815,4724,5628,5067,5298,5576,5016,4164,4116,3780,2190,1418,858,1426,1291
2020-05-23,1132,603,854,408,540,1013,1264,2370,2639,3117,4231,4485,4647,4908,5872,5123,4218,2954,2654,1894,1491,1291,1078,2181
2020-05-24,2909,2148,1523,1764,1132,1016,1280,2399,2873,4004,7150,7566,6905,7345,7147,5468,4292,3557,3089,1788,1591,1275,991,1075
2020-05-25,897,600,621,493,649,972,1590,2954,3671,3451,5113,5749,5931,5568,5799,5433,4519,5129,3381,2403,1616,1192,699,1007
2020-05-26,574,843,478,305,576,703,1500,2873,3538,4156,4939,5664,6562,5306,5603,5372,4156,4713,3372,2061,1407,1355,867,833
2020-05-27,473,390,563,600,792,924,1766,3084,3940,4199,6371,6697,6499,6486,5970,5446,5473,4839,3526,2593,2224,1752,1386,1148
2020-05-28,608,501,684,439,461,712,1284,2620,4101,3772,4959,5881,6874,6267,6747,5796,5016,5450,3572,2298,1471,975,950,828
2020-05-29,715,446,429,1146,503,597,1400,2854,3666,5014,6212,8147,8083,6747,7820,6015,6015,5009,4777,3371,1733,1501,1688,1139
2020-05-30,560,573,723,793,719,1401,1820,3492,4991,5597,7823,11003,11081,10892,11932,9437,8563,6617,3904,2666,2250,2195,2082,1240
2020-05-31,868,1268,970,626,631,1226,1845,2992,4314,5885,9557,12100,12093,10136,8844,8722,7577,4604,3201,2199,1243,1262,1105,1417
2020-06-01,930,373,367,259,320,542,1316,2953,4340,4209,6784,6862,6255,6309,6147,5963,5505,5171,3668,2292,1686,1423,1011,1083
2020-06-02,737,574,473,497,578,824,1298,3143,4832,5896,6341,7303,7825,7690,7522,6294,6626,6142,4533,2525,1289,1463,1388,1313
2020-06-03,767,429,476,368,448,767,1540,3754,4554,4803,6780,7359,7068,8178,7374,7006,6422,6134,3842,2229,2128,1344,1236,1316
2020-06-04,494,389,478,527,494,724,1397,3242,5631,4961,6661,7543,6711,7768,7039,6791,6489,5584,4539,3203,1916,2399,1223,805
2020-06-05,672,692,504,469,526,999,1435,3208,4933,5169,7778,8392,9693,10266,10954,8295,8932,7132,5189,3059,1998,1882,1350,1343
2020-06-06,1163,886,1259,919,776,1126,2107,3492,5571,7347,11219,13866,15148,16556,14364,14159,11952,7850,4629,2711,2463,1656,1500,1259
2020-06-07,1096,678,843,655,637,1046,1575,2954,6326,7894,14362,16249,18937,18536,17061,15588,15747,8643,4864,2759,1963,1742,1302,1043
2020-06-08,1021,531,505,470,636,844,1530,3859,5131,5653,8501,9706,10213,9843,9193,9019,7777,7108,4362,3478,1754,1864,1292,916
2020-06-09,735,423,452,432,577,879,1697,3376,5151,5612,7570,8720,8530,9423,9481,8953,7721,6941,4762,2463,1709,1336,1227,1029
2020-06-10,436,410,561,341,473,957,1440,3206,4820,4835,7749,9679,10194,8870,8789,8505,8018,7460,4819,2640,2077,2547,1795,938
2020-06-11,574,431,399,515,491,805,1326,3012,4726,4934,7092,7085,7372,6936,6706,6464,4938,5458,2986,1842,2005,1715,955,632
2020-06-12,538,391,405,463,565,761,1604,3380,4291,5252,8179,9971,10230,10925,10582,8521,9834,7100,5362,3801,2485,2005,1893,1392
2020-06-13,702,537,852,699,697,1107,1602,2715,5057,7317,12672,14620,15782,15244,15792,13793,9706,6943,4175,2270,2333,1599,1021,1203
2020-06-14,525,388,468,374,496,740,1264,2760,4429,6896,13518,19663,17172,15073,16095,13293,12264,7251,4326,2725,2357,1793,1213,1048
2020-06-15,738,703,442,498,675,835,1788,3611,5841,5979,10072,11010,11928,10388,11226,10609,10165,6607,4846,2815,1836,1632,1400,1061
2020-06-16,312,275,304,396,487,724,1671,3704,5386,5616,8765,11814,10981,10552,10221,11649,10276,8587,5060,3087,2236,1759,1600,939
