,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2020-10-26,948,611,375,392,516,918,1904,5177,10015,19040,35641,47411,47633,45450,50309,42295,38604,28295,16209,6426,3628,2643,1789,1887
2020-10-27,996,1006,899,827,616,1196,2289,5045,7487,15072,28485,38640,41725,41993,41756,36147,32434,23430,12853,6520,3761,2477,2128,2271
2020-10-28,1766,1010,762,636,763,1048,2397,4654,10176,16252,30337,42800,42250,42922,43304,35998,29840,21829,13680,5345,3123,2779,1901,1684
2020-10-29,806,853,738,521,555,1242,2098,5184,9657,16558,31218,40523,42192,42807,45072,37683,32616,24203,12818,7725,4007,3467,1950,1886
2020-10-30,1723,1508,1242,1208,1111,1042,2066,5450,9231,16358,30643,40210,42404,42599,44132,39145,33307,23501,12468,6974,5217,3063,2710,2449
2020-11-02,1282,1250,1081,769,924,953,2154,6322,10710,25119,49661,60607,60044,53724,56214,51495,42400,32371,18175,9137,4839,2940,2680,2512
2020-11-04,1742,1615,2151,1368,846,1368,2456,5236,10229,18989,40919,47300,54252,53168,57280,45403,41246,28996,17244,8784,3702,2464,2143,2311
2020-11-05,1596,1424,1449,1323,1005,1483,2477,5626,10635,17905,33192,48059,46038,43678,45246,43537,36295,26387,13659,6899,3627,2772,1868,1964
2020-11-06,1459,1240,1803,1231,808,1183,2339,5244,10572,19833,36638,49443,50608,51132,50894,50018,38719,26822,14915,7742,4807,3463,2495,1959
2020-11-09,1589,1575,1530,1163,1255,1500,2975,5494,10485,22454,40530,51405,53928,53592,57190,50314,41391,28186,15156,6023,4494,3072,3043,3118
2020-11-10,2611,2668,2659,2792,1509,1060,2074,6008,11711,18310,35742,51399,51977,47730,56379,48042,36291,27350,13556,6200,3065,2868,2918,3086
2020-11-11,2625,2605,2234,2455,1012,1418,2784,5613,10695,20966,38662,53645,55099,52954,54827,50312,37138,28250,15065,6159,3358,3885,2565,2586
2020-11-12,2291,1402,1621,1384,651,1224,2416,5253,10108,17465,34940,46896,51110,48895,49637,41959,34950,23711,11376,6433,2897,2982,3018,2253
2020-11-13,1595,1302,1290,1583,821,1016,2665,5867,12327,24343,42467,55426,59154,56146,60613,53042,47251,31004,16369,7347,4860,3833,3137,2690
2020-11-16,1967,1258,1037,754,819,1267,2541,6516,11339,24910,45446,57562,56018,58219,58781,53462,43820,32462,16961,8496,4131,3589,2838,2456
2020-11-17,1961,1372,1428,1680,750,1187,2201,6477,12305,22395,37628,47430,54927,52862,53663,51509,41621,29369,14124,6535,3739,4453,3175,2862
2020-11-18,1961,1619,1199,1201,1115,1632,2891,7734,11775,20194,40916,54757,56986,53086,56680,50655,39206,27954,16188,6700,3942,2422,2970,2482
2020-11-19,1710,1203,1700,1137,650,892,2579,5759,11500,20539,38512,50420,51457,51905,53125,44679,39595,25669,14679,7255,4326,3284,2773,2218
2020-11-20,1749,2155,2206,1249,725,1235,2580,5937,12779,19985,36456,49073,48575,45988,45536,36709,32168,21540,10785,6927,3712,4280,3639,2848
2020-11-24,1805,1147,757,829,906,1210,2545,6144,9297,20218,36921,49379,53619,50194,54618,43637,38269,25174,13938,6352,3496,3067,2743,2442
2020-11-25,3328,2569,2928,2851,1860,1166,2669,5747,9422,16106,31416,46607,45757,44844,49374,41784,33093,23339,13422,5834,3202,2771,2189,2803
2020-11-26,2596,2155,2492,2475,2846,1438,2425,5683,9330,17385,32132,45527,52537,46703,48544,43812,34229,24820,12642,7597,5160,2943,2899,2666
2020-11-27,2617,2450,2349,2106,1554,1047,2544,5818,9774,18503,34620,43178,45344,46148,47309,42897,35530,24363,13449,7887,4722,3404,2841,3148
2020-11-30,1981,1447,1044,1302,745,1076,2663,5578,9588,18537,31735,43886,46260,44731,46037,38085,31611,24190,13153,7207,4188,3274,3402,3854
2020-12-04,4785,3694,3557,3588,1601,1013,2166,5178,9357,15032,26644,41369,41161,41181,43734,38798,29039,18630,10391,5480,3764,2498,2802,3654
2020-12-05,4245,2828,3653,3670,1681,1300,2236,4994,9913,22746,40183,52049,52382,57365,61522,53128,40697,25755,14507,6753,4993,2485,2617,2914
2020-12-06,3287,3053,2531,2415,1578,1813,2911,5014,13677,25140,48912,61134,57065,61264,64995,51699,43724,29991,15988,6162,3586,2884,1787,1277
2020-12-07,837,580,501,492,568,1069,2591,5366,7637,13924,30159,42870,40939,41495,44863,33177,29487,21597,10414,5110,3572,2951,1999,2512
